time,upload,download
671,1.71328,7.86758
672,0.246875,0.224414
673,0.246875,0.224414
674,0.246875,0.224414
675,0.0539063,0.0205078
676,0.342187,0.317187
677,0.342187,0.317187
678,1.26113,1.85898
679,1.79746,2.43926
680,1.79746,2.43926
681,1.79746,2.43926
682,1.79746,2.43926
683,0.549219,0.593164
684,0.0462891,0.0462891
685,0.0796875,0.0667969
686,0.0796875,0.0667969
687,0.0796875,0.0667969
688,0.583789,0.317969
689,0.583789,0.317969
690,0.700781,0.289844
691,0.793359,0.515625
692,0.793359,0.515625
693,0.793359,0.515625
694,0.289258,0.264453
695,0.289258,0.264453
696,0.317187,0.285742
697,0.350586,0.30625
698,0.785156,0.534766
699,1.18047,0.810938
700,1.18047,0.810938
701,1.45566,3.6209
702,1.45566,3.6209
703,1.02109,3.39238
704,1.02109,3.39238
705,1.02109,3.39238
706,1.02109,3.39238
707,0.0796875,0.0667969
708,0.536914,0.29043
709,0.570312,0.310937
710,0.75,0.310937
711,0.82207,0.567187
712,0.82207,0.567187
713,0.82207,0.567187
714,0.82207,0.567187
715,0.285156,0.276758
716,0.337695,0.261719
717,0.337695,0.261719
718,0.946289,0.505859
719,1.21387,0.788281
720,1.15566,1.99883
721,1.5416,3.87695
722,1.97051,4.13086
723,1.92813,11.0537
724,2.12148,19.8572
725,1.6752,26.1623
726,1.48594,34.7119
727,1.3127,34.9758
728,1.54824,33.3281
729,2.80312,40.1887
730,2.79785,38.5539
731,2.26895,31.9895
732,2.46914,40.509
733,1.26973,33.9869
734,1.43301,35.3635
735,1.88437,43.3361
736,1.63672,34.4668
737,2.06016,41.8891
738,1.72227,35.0346
739,2.22832,35.1521
740,2.56699,42.3162
741,2.05176,35.2309
742,2.26484,44.0344
743,1.1084,35.8723
744,0.988867,37.8215
745,0.996484,37.8215
746,1.95312,42.366
747,2.02578,33.2771
748,1.96055,24.1543
749,1.96055,24.1543
750,1.34746,1.13457
751,2.03184,1.39023
752,2.17188,1.40898
753,1.95352,1.42012
754,1.95352,1.42012
755,1.95352,1.42012
756,1.95352,1.42012
757,0.0474609,0.323828
758,0.114258,0.696289
759,0.114258,0.696289
760,0.575977,0.715234
761,0.726172,0.753125
762,0.770508,1.04902
763,0.69082,0.380859
764,0.69082,0.380859
765,0.69082,0.380859
766,0.688672,1.24883
767,0.688672,1.24883
768,0.822852,1.15684
769,0.822852,1.15684
770,1.44004,1.4166
771,1.44004,1.4166
772,1.44004,1.4166
773,1.44004,1.4166
774,1.44004,1.4166
775,1.44004,1.4166
776,0.0333984,0.0333984
777,0.0333984,0.0333984
778,0.0333984,0.0333984
779,0.0333984,0.0333984
780,0.503906,0.288281
781,0.503906,0.288281
782,0.503906,0.288281
783,0.503906,0.288281
784,0.503906,0.288281
785,0.503906,0.288281
786,0.490039,0
787,0.630273,0.0128906
788,0.931055,0.0462891
789,1.35117,0.775
790,2.05137,0.813672
791,1.56133,0.969922
792,1.37129,1.4873
793,1.37129,1.5002
794,1.37129,1.5002
795,0.263867,0.745703
796,0.180273,0.719922
797,0.0914062,0.0628906
798,0.351172,0.118164
799,0.410352,0.664258
800,0.397461,0.664258
801,0.777344,0.664258
802,0.801758,0.861719
803,0.801758,0.861719
804,0.801758,0.861719
805,0.801758,0.861719
806,0.801758,0.861719
807,0.0205078,0
808,0.0205078,0
809,0.219727,0.028125
810,0.26543,0.257812
811,0.657422,0.27832
812,0.923242,0.835547
813,0.923242,0.835547
814,0.724023,0.820312
815,0.724023,0.820312
816,0.306836,0.570117
817,0.0539063,0.0257812
818,0.170703,0.134766
819,0.583984,0.121875
820,0.656055,0.404883
821,1.09004,0.440625
822,1.11582,0.664844
823,0.999023,0.56875
824,0.999023,0.56875
825,0.999023,0.56875
826,0.0720703,0.262891
827,0.0720703,0.262891
828,0.0591797,0.0462891
829,0.0591797,0.0462891
830,0.0591797,0.0462891
831,0.695508,0.512305
832,0.9,1.24629
833,0.933398,1.69668
834,0.933398,1.69668
835,0.933398,1.69668
836,0.933398,1.69668
837,0.933398,1.69668
838,0.0333984,0.0333984
839,0.0333984,0.0333984
840,0.48457,0.254687
841,0.48457,0.254687
842,0.994336,0.528125
843,0.994336,0.528125
844,0.994336,0.528125
845,0.994336,0.528125
846,0.522656,0.286328
847,0.522656,0.286328
848,0.0462891,0.0462891
849,0.112891,0.0978516
850,0.112891,0.0978516
851,0.339063,0.305469
852,0.769531,0.505273
853,1.00977,0.714648
854,1.00977,0.714648
855,1.00977,0.714648
856,1.00977,0.714648
857,0.771094,0.535937
858,0.74668,0.544922
859,1.03242,0.796289
860,1.27031,1.32285
861,1.27031,1.33574
862,1.33711,1.26426
863,1.36387,2.17344
864,2.09746,2.76855
865,2.09746,2.76855
866,2.09746,2.76855
867,2.09746,2.76855
868,2.09746,2.76855
869,2.09746,2.76855
870,0.0333984,0.0333984
871,0.213086,0.0462891
872,0.679883,0.294922
873,1.05957,0.855859
874,1.07246,0.86875
875,1.07246,0.86875
876,1.07246,0.86875
877,1.07246,0.86875
878,1.07246,0.86875
879,0.0333984,0.0333984
880,0.425586,0.0333984
881,0.484766,0.274805
882,0.910742,0.274805
883,0.969922,0.522266
884,0.969922,0.522266
885,0.969922,0.522266
886,0.969922,0.522266
887,0.969922,0.522266
888,0.969922,0.522266
889,0.0333984,0.0333984
890,0.0333984,0.0333984
891,0.0462891,0.0462891
892,0.285352,0.243555
893,0.99082,0.812109
894,1.40527,1.09336
895,1.83418,1.37344
896,1.83418,1.37344
897,1.83418,1.37344
898,1.83418,1.37344
899,1.83418,1.37344
900,0.0333984,0.0333984
901,0.317578,0.288477
902,0.330469,0.301367
903,0.847266,0.551758
904,0.847266,0.551758
905,0.847266,0.551758
906,0.847266,0.551758
907,0.847266,0.551758
908,0.0333984,0.0333984
909,0.0333984,0.0333984
910,0.0333984,0.0333984
911,0.0333984,0.0333984
912,0.515625,0.259375
913,1.4252,0.746484
914,1.45098,1.04336
915,1.45098,1.04336
916,1.45098,1.04336
917,1.45098,1.04336
918,1.45098,1.04336
919,0.0462891,0.0462891
920,0.0462891,0.0462891
921,0.354883,0.316016
922,0.354883,0.316016
923,0.884375,0.592383
924,0.884375,0.592383
925,0.884375,0.592383
926,0.884375,0.592383
927,0.884375,0.592383
928,0.0333984,0.0333984
929,0.0333984,0.0333984
930,0.0462891,0.0462891
931,0.0462891,0.0462891
932,0.271875,0.0591797
933,0.767383,0.543945
934,1.1457,0.556836
935,1.21777,1.63066
936,1.23301,1.71758
937,1.23301,1.71758
938,1.23301,1.71758
939,1.23301,1.71758
940,0.0357422,0.0869141
941,0.32168,0.277148
942,0.32168,0.277148
943,0.800781,0.277148
944,0.933789,0.497461
945,0.913281,0.525586
946,0.913281,0.525586
947,0.913281,0.525586
948,0.913281,0.525586
949,0.0205078,0.028125
950,0.0205078,0.028125
951,0.0333984,0.0333984
952,0.264062,0.0667969
953,0.643555,0.0667969
954,0.758984,0.295898
955,1.13008,0.380273
956,1.14531,0.500781
957,1.16348,0.736719
958,1.16348,0.736719
959,0.0744141,0.436133
960,0.0744141,0.436133
961,0.301562,0.282227
962,0.275781,0.0128906
963,0.334961,0.576563
964,0.81582,0.622852
965,0.81582,0.622852
966,0.593945,0.830078
967,0.573438,0.842969
968,0.573438,0.842969
969,0.573438,0.842969
970,0.573438,0.842969
971,0.573438,0.842969
972,0.573438,0.842969
973,0.573438,0.842969
974,0.540234,0
975,0.540234,0
976,0.883008,0.150391
977,1.34492,0.435547
978,1.05977,0.482422
979,1.40332,1.54473
980,1.68887,1.83359
981,1.6793,1.93203
982,1.2918,1.93672
983,1.25605,1.90273
984,1.25605,1.90273
985,0.923437,0.761328
986,0.603125,0.525391
987,0.603125,0.525391
988,0.603125,0.525391
989,0.603125,0.525391
990,0.603125,0.525391
991,0.603125,0.525391
992,0.603125,0.525391
993,0.603125,0.525391
994,0.603125,0.525391
995,0.374609,0
996,0.408008,0.237891
997,0.408008,0.237891
998,0.408008,0.237891
999,0.792383,0.237891
1000,1.02754,0.533984
1001,0.645312,0.486133
1002,0.857031,0.486133
1003,0.916211,0.737695
1004,0.916211,0.737695
1005,0.916211,0.737695
1006,0.543359,0.494922
1007,0.55625,0.507812
1008,0.55625,0.507812
1009,0.55625,0.507812
1010,0.55625,0.507812
1011,0.0257812,0.0386719
1012,0.0257812,0.0386719
1013,0.0257812,0.0386719
1014,0.0257812,0.0386719
1015,0.0257812,0.0257812
1016,0.43418,0.269336
1017,0.43418,0.269336
1018,0.43418,0.269336
1019,0.43418,0.269336
1020,0.805469,0.256445
1021,0.606445,0.29668
1022,0.619336,0.521289
1023,0.83125,0.521289
1024,0.864648,0.764648
1025,0.864648,0.764648
1026,0.758008,1.02051
1027,0.758008,1.02051
1028,0.758008,1.02051
1029,0.758008,1.02051
1030,0.785352,0.255859
1031,0.481836,0
1032,0.944336,4.34219
1033,1.4623,6.18828
1034,1.80898,6.96895
1035,1.58789,7.50039
1036,1.8832,7.51328
1037,1.46699,3.35098
1038,1.46699,3.35098
1039,0.602344,0.737109
1040,0.602344,0.737109
1041,0.0591797,0.476758
1042,0.419922,1.79004
1043,0.504883,2.29531
1044,0.919336,2.3082
1045,0.932227,2.41094
1046,1.34727,2.12695
1047,0.99043,1.14102
1048,0.724609,0.641406
1049,0.758008,0.674805
1050,0.758008,0.674805
1051,0.758008,0.674805
1052,0.758008,0.674805
1053,0.758008,0.674805
1054,0.758008,0.674805
1055,0.758008,0.674805
1056,0.758008,0.674805
1057,0.470313,0.228125
1058,0.470313,0.228125
1059,0.470313,0.228125
1060,0.470313,0.228125
1061,0.50293,0.259961
1062,0.50293,0.259961
1063,0.673437,0.566016
1064,0.673437,0.566016
1065,0.673437,0.566016
1066,0.673437,0.566016
1067,1.11855,0.777148
1068,1.11855,0.777148
1069,0.716211,0.805273
1070,0.729102,0.818164
1071,0.729102,0.818164
1072,0.729102,0.818164
1073,0.729102,0.818164
1074,0.729102,0.818164
1075,0.729102,0.818164
1076,0.729102,0.818164
1077,0.729102,0.818164
1078,0.47168,0.272461
1079,0.47168,0.272461
1080,0.47168,0.272461
1081,0.47168,0.272461
1082,0.47168,0.272461
1083,0.605469,0
1084,0.881641,0
1085,0.943164,0.522852
1086,0.943164,0.522852
1087,0.943164,0.522852
1088,0.756445,0.522852
1089,0.723828,0.762305
1090,0.700977,0.451172
1091,0.700977,0.451172
1092,0.700977,0.451172
1093,0.700977,0.451172
1094,0.700977,0.451172
1095,0.700977,0.451172
1096,0.700977,0.451172
1097,0.700977,0.451172
1098,0.472266,0.270312
1099,0.472266,0.270312
1100,0.472266,0.270312
1101,0.505664,0.29082
1102,0.505664,0.29082
1103,0.505664,0.29082
1104,0.505664,0.29082
1105,0.665039,0.541602
1106,0.665039,0.541602
