time,ping
1721,59.3
1722,60.4
1723,57.8
1724,58.4
1725,58.1
1726,58.3
1727,80.7
1728,96.7
1729,76
1730,156
1731,104
1732,72.7
1733,75.5
1734,132
1735,71.9
1736,116
1737,72.9
1738,88.5
1739,80.5
1740,452
1741,92.5
1742,117
1743,68.1
1744,56.5
1745,114
1746,55.9
1747,103
1748,106
1749,49.6
1750,69.4
1751,55.6
1752,63.2
1753,76.8
1754,112
1755,92.2
1756,95.8
1757,98.8
1758,58.4
1759,55.8
1760,40.1
1761,82.2
1762,77.3
1763,85
1764,116
1765,80
1766,84.1
1767,104
1768,52.6
1769,53.3
1770,53.6
1771,59.5
1772,131
1773,101
1774,83.1
1775,83.1
1776,83.4
1777,105
1778,103
1779,110
1780,120
1781,75.2
1782,515
1783,112
1784,95.4
1785,106
1786,50.1
1787,51.6
1788,46.7
1789,38.3
1790,60.7
1791,59.3
1792,43.3
1793,53.1
1794,48.4
1795,66.6
1796,58.5
1797,52.4
1798,63.3
1799,47.1
1800,78
1801,99.2
1802,191
1803,112
1804,108
1805,79
1806,99.1
1807,92.7
1808,82.9
1809,121
1810,105
1811,106
1812,334
1813,102
1814,122
1815,111
1816,103
1817,112
1818,49.6
1819,109
1820,89
1821,88.9
1822,418
1823,109
1824,105
1825,65.8
1826,112
1827,87.4
1828,92.1
1829,112
1830,123
1831,71
1832,613
1833,119
1834,73.3
1835,72.6
1836,94.3
1837,113
1838,92
1839,113
1840,90.1
1841,77.9
1842,130
1843,118
1844,89
1845,69.6
1846,95.6
1847,102
1848,85.6
1849,102
1850,89.6
1851,111
1852,112
1853,110
1854,129
1855,89.4
1856,77.4
1857,81.8
1858,88.9
1859,85.3
1860,89.3
1861,85.3
1862,409
1863,141
1864,125
1865,89.1
1866,93.1
1867,41.3
1868,51.3
1869,56.6
1870,43.7
1871,51.2
1872,49.4
1873,52.8
1874,64.9
1875,60
1876,40.5
1877,60.4
1878,50
1879,105
1880,45
1881,44.2
1882,40
1883,39.8
1884,60.4
1885,54.9
1886,40.4
1887,40.4
1888,70.3
1889,55.3
1890,74.8
1891,99.4
1892,171
1893,111
1894,107
1895,108
1896,103
1897,638
1898,89.4
1899,112
1900,120
1901,114
1902,257
1903,257
1904,212
1905,106
1906,120
1907,184
1908,99.6
1909,84.9
1910,85.5
1911,75.9
1912,1076
1913,71.9
1914,78
1915,89.7
1916,109
1917,87.7
1918,106
1919,113
1920,101
1921,82.2
1922,114
1923,113
1924,56.5
1925,55
1926,39.2
1927,74
1928,57.8
1929,60.6
1930,44.5
1931,48.5
1932,67
1933,55.5
1934,39.5
1935,41.7
1936,59.9
1937,44.4
1938,52.4
1939,41.4
1940,40.9
1941,81.3
1942,104
1943,50.7
1944,51.1
1945,137
1946,116
1947,67.7
1948,56.6
1949,51.8
1950,43.5
1951,41.8
1952,61.7
1953,40.5
1954,48.9
1955,67.8
1956,48.9
1957,45.3
1958,69.4
1959,52.2
1960,48.3
1961,42.6
1962,83.5
1963,48.7
1964,110
1965,51.2
1966,40.9
1967,43.6
1968,42.2
1969,42.1
1970,82.4
1971,39.9
1972,106
1973,133
1974,95.9
1975,123
1976,98.2
1977,92.1
1978,132
1979,82.8
1980,40.3
1981,54.1
1982,42.4
1983,42.6
1984,41.6
1985,104
1986,52.5
1987,46.6
1988,46.6
1989,49.1
